GTCBSA,ALL_fpll,SOCIAL_fpll,CARE_fpll,K1_deaths,K2_deaths,K3_deaths,K1_cases,K2_cases,K3_cases,LOG_POP,%_REPUBLICAN,%_DEMOCRAT,%_OTHER_VOTES,%_GREEN,%_LIBERTARIAN,Perc.Native,workplace_close_H,stay_at_home_H,school_closing_H,cancel_events_H,close_transit_H,movement_restriction_H
11260,0,0,0,0.198042052,0.053572844,0.02820079,0.320412731,0.039328236,0.028928371,5.600864036,0.317860478,0.651060424,0.003601441,0.007069494,0.020408163,44.2,0.342857143,0.383673469,0.342857143,0.342857143,0,0.902040816
11380,0,0,0,0,0.132028034,0.026723537,0.119449798,0.054205395,0.014263818,4.256140227,0.843083746,0.144976974,0,0.001705611,0.010233669,0,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
11420,0,0,0,0,0.011304884,0.046798176,0.256586067,0.023914613,0.03154252,4.537227044,0.70084148,0.279235243,0.000185621,0.000433115,0.019304542,0,0.914285714,0.624489796,0.363265306,0.620408163,0,0
11460,0.21364534,0.162470784,0.070461449,0.119268361,0,0.013962112,0.275647506,0.007275005,0.020015645,5.564666064,0.259872099,0.726076389,0.002005378,0.003008068,0.009038065,68.5,0.657142857,0.987755102,0.636734694,0.371428571,0,1
11500,0,0,0,0,0.081732696,0.036462681,0.245430785,0.053471968,0.016423546,5.059252826,0.688484397,0.298452425,0.013063178,0,0,72.2,0.873469388,0.795918367,0,0.081632653,0,1
11540,0.202735403,0.202735403,0.022681848,0.123776282,0.016661459,0.008084157,0.201007731,0.027732774,0.024146677,5.372226897,0.551464019,0.430725669,0.003602409,0.000288193,0.01391971,82.5,0.375510204,0.946938776,0.048979592,0.048979592,0,0.946938776
11580,0,0,0,0.157565041,0.058922976,0.005075959,0.284146455,0.034870083,0.008779453,4.567061673,0.656686942,0.336440477,0.00213287,0.000631961,0.004107749,0,0,0.012244898,0.726530612,0,0,1
11620,0,0,0,0,0.04841516,0.04994635,0.131356284,0.068644594,0.029667874,4.766278969,0.754607526,0.229477899,0.005852456,0,0.010062118,0,0.930612245,0.285714286,0.028571429,0,0,0.359183673
11640,0,0,0,0,0,0,0,0.058485461,0.026219267,5.256638383,0,0,0,0,0,92.1,0,0,0,0,0,0
11660,0,0,0,0,0.040412548,0.056650233,0.209311687,0.046662767,0.0055899,4.349976499,0.549851102,0.409529482,0.025491364,0.005717689,0.009410363,0,0.946938776,1,0.665306122,1,0,1
11700,0.226443399,0.210675585,0.015872035,0.169312207,0,0.013303397,0.451524606,0.039075566,0.020241082,5.657391488,0.476670315,0.507125534,0.004006324,0.003015474,0.009182352,55.1,1,1,1,1,1,0.942857143
11740,0,0,0,0,0,0.103127261,0.07378346,0.058666055,0.033779365,4.728645919,0.734974437,0.247718235,0.004241621,0,0.013065707,0,1,1,0.440816327,1,0,1
11780,0,0,0,0.115347763,0,0.029899342,0.169663245,0.010446119,0.040501173,4.990472054,0.609101411,0.373683376,0.004552971,0,0.012662242,79.6,1,1,0.440816327,1,0,1
11820,0,0,0,0,0,0.074646619,0.154389562,0.025865649,0.056282471,4.592198971,0.427352572,0.540192388,0.008741113,0.005437056,0.018276872,0,0.32244898,0.836734694,0.126530612,0.836734694,0,0.134693878
11860,0,0,0,0,0,0.046521882,0.096533959,0.053449961,0.01968655,4.211334164,0.659408602,0.317069892,0,0,0.023521505,0,0.791836735,1,0.334693878,0.828571429,0,1
11900,0,0,0,0,0.057923587,0.088627091,0.171425509,0.154396185,0.025141091,4.818997434,0.416823362,0.566867493,0.004835182,0,0.011473963,75.4,1,1,0.440816327,1,0,1
11940,0,0,0,0.164113951,0,0.015769611,0.454568104,0.025634759,0.024851954,4.724709947,0.796620557,0.19090352,0.012475924,0,0,0,0.134693878,0.742857143,0.253061224,0.669387755,0,0.971428571
11980,0,0,0,0.077231449,0.047076379,0.018485444,0.21634773,0.016088779,0.015166716,4.908860173,0.796073464,0.194399317,0.000192747,0.002065149,0.007269323,76.8,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
12020,0.186857484,0.162617854,0.076364484,0.313445564,0.01524106,0,0.260890668,0.037338706,0.029537595,5.319016483,0.481676024,0.502736796,0,0,0.015587181,66.5,1,0,0.297959184,1,0,1
12060,0.183718781,0.155085251,0.040657419,0.269980181,0.012005917,0,0.312862396,0.031957666,0.01224999,6.768077226,0.416203519,0.570769762,0,0,0.01302672,55,1,0,0.297959184,1,0,1
12100,0.201497425,0.174334334,0.154365742,0.247552564,0.020519748,0.009218908,0.206711591,0.007423899,0.014299687,5.425053035,0.460169534,0.527083289,0.003284987,0.002620848,0.006841342,70,1,0.959183673,0.269387755,1,0.314285714,1
12140,0,0,0,0.103972077,0.028658931,0.061506831,0.094131433,0.113693637,0.029216852,4.632730538,0.725341349,0.25300591,0,0,0.021652741,0,0.914285714,0.624489796,0.363265306,0.620408163,0,0
12180,0,0,0,0,0,0.085020908,0.171046434,0,0.041012092,4.888881214,0.530794342,0.439309032,0.014009793,0.005032644,0.010854189,87.7,0.555102041,0.902040816,0.502040816,0.591836735,1,1
12220,0.263031075,0.161223241,0.123275418,0.146629949,0.004695146,0.027865862,0.398094335,0.049093575,0.00595042,5.2072357,0.590924995,0.38992848,0.019146524,0,0,54.6,0.873469388,0.795918367,0,0.081632653,0,1
